Id,Quantità,Totale,IdFattura,IdProdotto,DataFattura,IdCliente,CostoProdotto
104,8,25.67,109,23,2024-01-06,3552,8.5
105,9,160.51,535,25,2024-09-22,2213,24.69
106,6,74.44,749,8,2023-10-02,4854,41.71
107,8,161.69,903,19,2023-09-07,3693,30.91
108,3,43.43,30,16,2023-11-29,4050,11.39
109,5,10.75,349,18,2024-09-02,2291,1.5
110,4,79.88,88,24,2023-03-12,3982,20.91
111,8,84.25,247,15,2024-10-23,3901,39.85
112,4,97.51,227,10,2024-12-09,3313,33.53
113,7,123.26,567,24,2023-12-19,4350,27.97
114,5,24.94,465,10,2023-06-16,2989,13.32
115,9,121.0,198,25,2023-05-03,2585,34.82
116,9,34.89,757,20,2023-10-11,3967,14.87
117,6,105.82,199,6,2023-08-21,2427,15.81
118,1,22.62,130,18,2023-02-16,2248,15.31
119,1,19.28,654,19,2023-04-16,4022,14.93
120,3,53.88,349,2,2024-09-02,2291,13.37
121,8,251.2,117,3,2024-02-15,536,29.27
122,5,92.35,156,3,2024-07-30,1223,49.7
123,4,88.01,783,25,2024-09-12,3410,26.61
124,7,48.09,454,10,2024-08-25,2436,28.86
125,4,62.37,984,9,2023-08-01,813,33.36
126,3,72.39,178,1,2023-03-18,4522,21.02
127,4,161.97,482,10,2023-02-03,2386,35.64
128,2,19.94,465,22,2023-06-16,2989,12.44
129,4,14.57,811,14,2024-11-08,4832,6.62
130,2,15.38,153,2,2023-05-26,2177,9.13
131,8,105.82,767,4,2023-10-23,4663,23.97
132,9,191.18,413,16,2024-05-27,2231,22.45
133,5,39.76,911,1,2023-11-27,3540,5.48
134,1,40.99,857,25,2024-08-24,4713,33.94
135,9,103.13,42,21,2024-04-26,1436,22.67
136,8,133.39,600,3,2024-10-12,3571,24.03
137,6,118.16,329,14,2023-06-14,857,34.99
138,1,6.38,968,15,2024-07-17,3281,5.31
139,1,56.02,119,22,2024-06-10,3312,43.6
140,6,229.97,56,20,2024-06-14,1537,38.07
141,5,21.84,779,18,2023-07-28,423,7.42
142,1,36.86,902,21,2023-05-05,3971,30.83
143,1,24.98,163,18,2024-07-18,2546,20.99
144,2,85.52,862,21,2024-04-17,930,41.78
145,5,308.95,734,14,2024-06-05,2391,41.9
146,3,32.45,250,13,2024-07-18,3742,10.34
147,5,149.14,765,25,2023-03-13,1119,39.71
148,1,52.49,957,10,2023-10-01,4160,36.58
149,8,116.81,594,18,2023-06-02,4012,24.73
150,8,491.31,782,11,2024-01-22,4452,43.61
151,7,213.04,245,8,2024-04-29,1035,42.94
152,7,407.49,326,13,2024-12-23,3875,49.43
153,3,73.83,668,16,2023-02-01,330,48.28
154,2,16.67,989,15,2023-12-06,4835,5.89
155,3,105.53,16,3,2024-02-24,1181,24.01
156,2,116.85,347,11,2024-10-27,3257,42.76
157,8,5.09,390,18,2024-10-03,2595,2.76
158,2,124.54,647,14,2023-08-21,2355,48.94
159,3,18.78,721,23,2024-03-30,824,15.67
160,6,66.94,333,12,2023-10-28,460,22.1
161,3,30.39,422,6,2024-11-29,4637,9.58
162,4,82.37,392,16,2024-04-26,318,45.73
163,5,15.67,473,15,2023-02-21,1489,13.51
164,9,59.23,824,6,2023-10-22,3812,4.62
165,7,119.86,602,23,2024-10-16,2451,13.25
166,2,35.09,204,8,2024-05-09,3152,19.69
167,7,12.92,303,9,2023-01-23,2419,1.4
168,8,140.76,797,10,2024-09-12,402,39.01
169,4,63.77,822,20,2023-08-13,2887,13.28
170,2,55.11,786,21,2024-10-05,1121,32.67
171,6,61.65,452,24,2024-08-16,274,7.44
172,4,213.3,335,5,2023-06-29,3404,39.54
173,5,86.68,375,6,2024-05-28,4349,13.59
174,2,65.88,494,15,2023-12-13,2418,48.18
175,7,55.17,990,26,2024-11-23,1849,28.31
176,9,219.83,405,4,2023-09-28,115,23.28
177,7,99.72,689,21,2024-08-21,2148,47.07
178,9,149.95,240,11,2023-01-26,3863,45.85
179,5,41.91,65,21,2024-12-18,3804,21.01
180,1,57.09,969,10,2024-08-12,161,49.8
181,7,192.26,241,15,2023-05-19,4404,19.18
182,3,130.19,714,14,2024-03-05,4426,33.09
183,1,24.47,631,23,2023-10-14,3344,19.16
184,2,53.45,974,22,2024-01-07,1935,19.0
185,7,23.16,661,9,2023-03-04,2939,10.3
186,4,189.46,869,21,2023-04-04,3726,32.34
187,3,38.21,52,26,2023-09-07,2733,28.66
188,4,31.17,784,8,2023-08-01,4541,17.1
189,5,225.09,923,5,2023-01-03,4883,49.39
190,1,2.45,818,5,2023-04-23,1430,1.73
191,1,16.11,244,6,2023-11-28,4824,14.0
192,2,41.07,432,16,2023-04-27,4310,22.97
193,9,71.49,608,8,2024-04-07,894,47.33
194,9,305.98,803,10,2023-10-20,3728,23.44
195,7,49.04,63,22,2024-02-16,3924,6.29
196,6,17.34,455,20,2023-03-24,603,8.27
197,6,263.19,640,13,2024-07-15,4796,49.74
198,9,241.43,465,20,2023-06-16,2989,22.08
199,7,222.15,118,15,2023-08-09,4517,44.52
200,7,28.93,848,24,2024-02-13,3716,5.66
201,3,61.41,682,22,2024-01-19,2089,46.23
202,7,172.52,852,4,2023-04-06,700,37.48
203,9,44.86,134,18,2023-03-03,4558,17.15
204,5,28.76,363,20,2023-02-22,3465,16.31
205,8,205.45,520,8,2023-06-08,1743,42.52
206,6,216.23,570,4,2023-06-08,3987,38.37
207,7,418.95,827,18,2024-04-15,356,48.75
208,5,55.08,629,1,2023-01-27,4561,9.84
209,1,57.86,317,6,2023-12-26,2784,43.62
210,1,44.55,411,3,2023-05-26,571,37.56
211,8,39.17,430,11,2024-04-04,1806,8.71
212,2,21.84,333,2,2023-10-28,460,8.62
213,8,168.08,51,22,2023-10-06,669,21.78
214,9,44.33,425,4,2023-08-09,2238,17.91
215,9,61.77,695,22,2024-05-13,4859,16.11
216,4,229.98,614,10,2023-01-08,449,47.32
217,5,19.63,783,10,2024-09-12,3410,17.08
218,7,44.76,765,6,2023-03-13,1119,7.33
219,6,142.45,236,3,2024-07-26,4099,20.46
220,2,63.95,447,11,2024-04-15,154,29.21
221,2,3.47,727,13,2023-10-24,3422,2.02
222,6,43.37,821,3,2024-12-07,3770,22.4
223,7,45.02,447,17,2024-04-15,154,4.85
224,6,47.43,764,25,2023-08-15,2782,9.24
225,9,112.61,117,17,2024-02-15,536,10.5
226,2,19.36,360,5,2023-08-30,1210,13.54
227,8,356.26,157,15,2023-07-01,618,37.97
228,6,75.43,460,21,2024-10-20,4625,16.49
229,5,21.1,481,26,2024-10-08,3623,14.46
230,2,27.68,520,10,2023-06-08,1743,23.63
231,2,55.12,378,20,2023-03-20,2352,30.11
232,9,59.76,595,26,2023-02-09,2175,37.21
233,4,109.01,931,11,2024-10-29,4684,30.65
234,2,78.97,981,26,2024-04-06,507,45.06
235,3,34.01,732,2,2024-05-31,691,13.14
236,3,39.73,450,12,2024-06-19,4294,19.27
237,1,39.37,419,26,2024-11-26,2772,31.91
238,7,121.55,338,10,2024-07-25,775,13.35
239,6,65.52,988,3,2023-06-03,4938,29.55
240,7,299.1,359,5,2024-11-02,2542,30.16
241,6,258.83,318,5,2024-01-21,4579,33.84
242,9,207.4,757,3,2023-10-11,3967,32.66
243,5,156.5,371,6,2024-01-07,150,47.61
244,4,21.9,785,5,2023-07-16,3984,8.59
245,9,65.76,808,24,2024-06-03,829,44.3
246,3,32.14,345,20,2023-06-19,3313,19.46
247,3,56.06,852,24,2023-04-06,700,22.45
248,4,148.01,693,15,2023-03-31,4468,30.92
249,8,121.54,803,8,2023-10-20,3728,27.17
250,6,420.86,829,22,2023-07-18,3843,47.41
251,5,88.22,473,25,2023-02-21,1489,19.71
252,3,63.23,990,7,2024-11-23,1849,40.26
253,8,62.49,257,12,2024-10-18,428,28.17
254,5,109.25,867,3,2023-05-08,4227,38.39
255,7,150.98,928,3,2023-05-31,4206,47.37
256,7,94.29,462,2,2023-01-28,2864,20.43
257,4,26.35,396,1,2024-01-19,669,16.62
258,6,11.45,732,26,2024-05-31,691,8.16
259,3,93.38,940,25,2024-12-13,3871,35.57
260,5,193.3,6,7,2023-01-20,650,41.91
261,7,130.12,745,4,2024-06-24,4988,39.03
262,7,215.34,125,21,2023-09-02,392,39.9
263,9,263.13,114,1,2024-09-03,4095,31.97
264,7,104.64,736,1,2023-10-26,1177,31.13
265,2,59.91,427,17,2024-11-11,1535,48.76
266,9,23.86,539,18,2024-06-03,4458,2.0
267,5,11.06,45,24,2024-01-18,3170,1.8
268,2,74.89,354,25,2024-11-03,1976,29.51
269,9,124.62,137,11,2023-12-27,364,40.86
270,8,25.52,798,21,2024-12-13,3807,9.93
271,8,24.26,734,2,2024-06-05,2391,15.38
272,5,129.59,205,17,2023-11-20,344,20.51
273,4,91.08,485,10,2023-02-07,2076,18.49
274,2,53.09,887,26,2023-10-07,2720,19.03
275,6,127.32,762,6,2024-01-31,3603,25.31
276,2,41.82,947,24,2023-10-01,4254,21.8
277,5,19.29,843,11,2024-07-12,1479,6.03
278,5,116.84,303,15,2023-01-23,2419,30.53
279,8,404.05,707,2,2023-12-26,3637,36.61
280,1,42.79,630,3,2023-10-09,3564,33.89
281,3,88.65,526,20,2023-02-01,1311,34.23
282,2,70.31,130,8,2023-02-16,2248,39.15
283,1,10.91,393,20,2024-12-24,1252,8.52
284,2,13.93,380,19,2024-03-30,3048,7.75
285,5,60.85,322,8,2024-09-12,3575,48.07
286,7,56.76,191,18,2024-06-14,4089,6.77
287,8,181.94,721,7,2024-03-30,824,49.82
288,2,83.82,939,5,2023-07-24,4024,42.79
289,6,29.07,921,22,2023-03-31,3647,18.02
290,3,124.51,556,23,2023-11-04,2379,35.77
291,4,245.42,179,4,2024-06-04,2962,49.27
292,6,139.17,243,18,2023-01-27,4048,29.04
293,2,48.47,565,3,2024-09-18,1064,16.16
294,8,117.54,737,17,2024-03-12,4136,21.13
295,6,22.13,589,21,2023-05-09,605,4.63
296,9,316.49,530,21,2023-05-12,2823,29.8
297,1,32.24,133,4,2024-05-29,3545,26.39
298,4,172.77,166,12,2024-12-27,2644,47.43
299,4,117.01,291,21,2023-09-14,647,47.86
300,9,81.79,641,3,2024-09-21,2481,25.63
301,3,131.67,965,22,2023-06-07,4757,31.6
302,1,7.37,346,1,2023-10-12,3106,4.98
303,4,119.86,790,25,2023-09-29,4725,29.03
304,9,157.25,32,10,2024-10-04,4080,32.45
305,8,98.07,251,3,2023-11-01,3327,34.74
306,4,80.87,426,11,2024-04-20,3967,30.73
307,6,189.16,736,24,2023-10-26,1177,49.41
308,9,25.4,409,18,2024-01-15,1072,6.2
309,4,14.48,126,5,2024-04-05,2192,5.74
310,3,166.05,394,11,2023-09-12,3426,46.75
311,3,133.82,195,16,2023-04-10,773,49.8
312,1,61.62,901,3,2024-05-24,2528,47.32
313,4,39.59,990,7,2024-11-23,1849,29.58
314,8,282.12,289,10,2024-09-03,4055,27.3
315,6,30.26,442,25,2023-09-28,1098,20.76
316,4,41.05,53,12,2024-07-29,4672,28.11
317,5,63.89,517,20,2024-07-17,3690,34.34
318,6,271.76,999,26,2024-02-08,793,49.35
319,3,75.22,375,7,2024-05-28,4349,30.52
320,1,9.51,42,2,2024-04-26,1436,7.71
321,3,70.51,486,20,2024-04-12,4255,44.76
322,6,120.9,954,6,2024-11-16,3373,20.25
323,6,220.66,863,17,2024-08-30,2452,41.59
324,8,160.87,726,1,2023-11-03,4612,19.05
325,5,300.93,427,26,2024-11-11,1535,45.04
326,8,403.01,645,9,2024-09-03,219,48.39
327,4,12.16,795,24,2023-08-23,459,3.52
328,4,131.72,537,2,2023-06-01,3115,29.06
329,6,55.19,196,14,2024-03-27,156,8.42
330,8,322.17,421,24,2024-09-18,4111,36.64
331,6,99.64,532,22,2024-07-28,1699,24.44
332,9,263.28,980,11,2024-04-15,1419,27.77
333,8,177.5,889,7,2024-09-16,2166,47.91
334,4,176.65,306,10,2024-09-15,4159,38.79
335,8,176.7,707,11,2023-12-26,3637,24.51
336,5,37.85,957,10,2023-10-01,4160,6.97
337,7,412.58,389,12,2024-10-17,2212,47.78
338,2,108.59,298,12,2023-10-22,345,46.28
339,4,55.07,766,18,2023-08-08,3925,14.29
340,4,19.32,279,8,2023-04-22,1125,3.49
341,2,34.32,232,14,2023-02-23,1908,17.18
342,9,265.82,698,6,2023-01-06,1127,20.94
343,8,307.08,900,16,2023-09-03,2520,32.88
344,1,7.15,295,25,2023-10-20,2632,5.38
345,7,67.41,548,6,2023-06-29,306,46.76
346,7,250.28,857,26,2024-08-24,4713,25.27
347,1,32.95,986,10,2023-02-08,2372,28.83
348,5,226.43,344,15,2023-08-29,766,49.47
349,8,24.33,506,9,2024-05-31,1100,10.45
350,5,58.84,167,23,2024-10-25,3760,10.12
351,4,130.87,810,6,2024-08-04,2417,30.94
352,6,38.26,416,3,2024-06-11,3504,20.64
353,4,31.06,144,1,2023-11-28,3912,13.78
354,5,90.48,772,11,2024-03-05,3195,15.8
355,6,80.2,12,23,2024-10-31,2143,12.58
356,7,243.75,477,22,2023-06-13,2514,25.62
357,5,47.0,721,23,2024-03-30,824,6.75
358,6,102.4,303,20,2023-01-23,2419,11.82
359,6,294.21,490,14,2024-04-10,1255,35.4
360,4,63.0,776,25,2024-11-11,4404,13.13
361,8,69.23,895,17,2024-06-22,671,35.48
362,9,84.6,578,17,2023-03-05,920,10.91
363,8,306.03,169,4,2024-06-16,2688,34.33
364,8,9.47,501,26,2024-06-06,745,3.73
365,8,23.52,426,19,2024-04-20,3967,3.83
366,5,5.65,827,24,2024-04-15,356,2.07
367,4,14.55,4,19,2024-05-27,2158,4.58
368,1,63.57,718,3,2024-07-08,523,49.32
369,3,116.09,294,25,2023-07-04,3350,32.43
370,7,419.69,987,15,2024-01-19,3444,43.61
371,9,178.72,385,5,2024-11-30,658,33.02
372,9,141.6,183,5,2024-02-07,4402,36.67
373,1,32.87,4,10,2024-05-27,2158,23.69
374,4,43.84,435,8,2024-01-24,4358,23.57
375,7,362.56,194,20,2023-02-02,925,38.54
376,2,58.64,17,4,2023-07-31,1972,30.1
377,1,47.02,689,8,2024-08-21,2148,37.29
378,9,397.38,240,7,2023-01-26,3863,37.96
379,9,155.42,144,10,2023-11-28,3912,12.47
380,6,35.24,590,8,2024-08-14,2613,15.79
381,7,91.7,677,10,2023-08-15,4271,14.48
382,7,258.96,606,18,2024-10-03,1435,25.29
383,7,204.13,965,26,2023-06-07,4757,26.7
384,3,71.28,419,10,2024-11-26,2772,19.45
385,4,71.89,485,8,2023-02-07,2076,15.74
386,9,302.22,826,14,2023-03-01,3794,48.42
387,5,27.59,138,7,2023-09-06,3182,17.18
388,9,69.21,461,24,2023-04-05,3040,41.64
389,1,14.36,387,3,2024-09-09,4956,10.22
390,8,198.47,742,7,2023-08-11,4579,43.6
391,1,69.67,980,7,2024-04-15,1419,46.92
392,4,174.43,121,13,2023-09-06,3924,45.84
393,5,125.26,795,13,2023-08-23,459,23.85
394,9,263.44,316,16,2024-01-04,2143,23.83
395,4,21.62,740,12,2023-11-24,3847,16.33
396,1,37.49,885,9,2023-05-30,1813,28.11
397,3,41.04,738,7,2023-10-30,3421,17.16
398,4,160.13,854,16,2023-11-08,4,27.98
399,5,300.61,346,25,2023-10-12,3106,41.26
400,3,66.94,658,24,2024-04-16,4019,39.95
401,9,121.52,738,16,2023-10-30,3421,10.02
402,1,3.83,658,17,2024-04-16,4019,2.66
403,1,1.51,968,25,2024-07-17,3281,1.31
404,3,31.06,646,1,2023-03-11,1896,11.72
405,8,9.39,62,1,2024-11-06,3959,1.32
406,5,59.15,13,18,2024-06-26,138,48.9
407,2,41.58,833,4,2023-07-03,3528,26.69
408,6,68.88,635,9,2023-09-16,4313,39.95
409,4,53.73,983,23,2024-04-15,3327,12.07
410,2,115.78,869,21,2023-04-04,3726,49.59
411,7,45.7,33,13,2024-02-20,766,28.08
412,8,153.57,10,14,2023-03-26,1404,32.6
413,1,16.44,879,8,2024-06-24,782,11.36
414,5,253.63,909,2,2024-05-01,4644,46.28
415,1,57.01,288,6,2024-07-31,4449,46.51
416,3,160.35,985,25,2024-08-24,1698,41.21
417,3,50.33,952,19,2023-11-03,631,12.78
418,7,317.77,399,25,2023-12-06,4429,37.25
419,6,16.99,706,2,2024-05-27,643,5.79
420,6,334.33,78,20,2024-07-12,1222,38.68
421,6,233.79,407,1,2023-03-19,1625,32.07
422,8,209.34,462,8,2023-01-28,2864,18.43
423,7,150.57,443,3,2024-11-27,1522,38.84
424,2,25.74,253,3,2024-08-31,4743,14.13
425,3,46.74,803,24,2023-10-20,3728,20.09
426,8,84.83,94,12,2023-11-12,43,38.31
427,8,156.33,90,18,2024-03-17,1536,28.18
428,9,327.52,27,3,2023-12-29,735,30.25
429,7,72.6,885,1,2023-05-30,1813,15.3
430,9,110.72,87,6,2023-09-06,4584,34.58
431,8,23.94,276,5,2023-10-02,2467,4.1
432,5,134.23,432,16,2023-04-27,4310,39.35
433,8,190.15,967,20,2024-10-02,2021,31.22
434,7,197.3,139,11,2023-01-07,2496,42.24
435,6,131.24,883,15,2023-09-12,896,17.4
436,5,169.6,881,11,2023-05-20,4870,30.56
437,7,116.63,491,11,2023-07-01,2574,15.28
438,6,107.65,503,13,2023-09-06,4718,14.73
439,4,98.82,374,19,2024-07-31,933,49.87
440,8,110.39,787,23,2023-01-28,4507,11.27
441,2,95.05,852,26,2023-04-06,700,39.96
442,5,32.56,143,22,2023-09-05,2481,8.55
443,2,99.6,387,15,2024-09-09,4956,49.54
444,9,441.45,411,17,2023-05-26,571,46.25
445,6,239.73,429,23,2023-02-07,4454,44.88
446,2,90.88,654,4,2023-04-16,4022,38.68
447,1,67.45,364,19,2024-10-24,1363,49.2
448,2,8.87,410,1,2024-03-16,2717,5.83
449,9,242.46,765,18,2023-03-13,1119,29.45
450,8,295.86,457,25,2024-02-05,3065,34.3
451,8,172.35,155,4,2023-01-26,2826,15.48
452,2,13.44,88,24,2023-03-12,3982,7.94
453,8,142.96,467,12,2024-06-17,1695,24.33
454,8,6.81,714,11,2024-03-05,4426,4.29
455,6,47.19,728,21,2023-01-24,943,6.36
456,3,26.58,953,18,2024-06-12,1999,8.85
457,7,71.49,982,21,2023-08-26,3786,10.04
458,7,349.06,443,1,2024-11-27,1522,37.13
459,7,3.81,461,13,2023-04-05,3040,1.22
460,2,63.64,286,26,2024-08-14,513,43.73
461,2,68.74,334,9,2024-04-13,1615,33.86
462,6,84.19,990,20,2024-11-23,1849,20.04
463,6,253.61,117,12,2024-02-15,536,42.43
464,2,10.01,834,22,2024-09-21,2437,7.56
465,2,26.4,313,6,2023-08-17,1865,19.29
466,3,34.28,398,19,2024-09-02,3427,19.8
467,3,19.11,651,18,2024-12-11,4403,9.18
468,1,61.64,192,12,2024-04-06,2578,47.64
469,7,148.25,200,18,2024-05-21,3146,25.77
470,8,66.82,702,16,2024-03-01,4029,9.2
471,1,14.61,815,9,2023-10-27,1807,12.02
472,8,191.13,800,18,2024-08-02,3747,26.03
473,9,30.45,275,25,2024-01-11,4450,3.04
474,2,105.32,560,24,2024-03-11,1791,41.67
475,5,71.65,305,12,2024-04-05,265,43.25
476,2,61.12,887,25,2023-10-07,2720,40.78
477,6,138.51,756,23,2024-12-06,4817,30.9
478,3,20.06,631,26,2023-10-14,3344,11.12
479,9,96.43,61,9,2023-12-26,4671,30.25
480,5,209.1,721,10,2024-03-30,824,29.06
481,7,440.78,527,2,2023-05-19,781,49.63
482,3,17.93,130,8,2023-02-16,2248,8.17
483,7,56.15,254,16,2023-03-07,1841,7.97
484,8,342.72,643,3,2024-01-20,3394,32.05
485,5,162.3,96,23,2024-06-11,3301,46.88
486,8,312.06,974,11,2024-01-07,1935,29.52
487,6,169.64,868,3,2024-04-14,764,39.99
488,8,70.5,992,9,2023-08-05,3520,16.82
489,8,152.35,561,26,2023-05-14,4735,17.84
490,8,74.08,50,1,2023-04-12,377,7.09
491,8,245.12,452,1,2024-08-16,274,49.6
492,3,64.31,706,21,2024-05-27,643,15.79
493,6,32.0,898,9,2023-04-06,2245,5.04
494,7,122.57,665,21,2023-02-23,1356,15.97
495,7,10.91,240,21,2023-01-26,3863,5.47
496,3,41.22,219,19,2023-03-21,3907,12.08
497,1,20.48,10,23,2023-03-26,1404,17.84
498,7,13.21,881,23,2023-05-20,4870,7.48
499,2,52.48,393,24,2024-12-24,1252,40.49
500,7,380.83,377,25,2023-05-21,2452,40.86
501,9,13.01,657,19,2023-03-12,1171,1.42
502,3,81.22,451,14,2023-08-07,2877,31.19
503,3,25.18,223,25,2023-04-13,711,7.03
504,7,136.34,360,11,2023-08-30,1210,39.76
505,2,62.99,661,8,2023-03-04,2939,28.12
506,1,51.92,623,22,2024-12-08,2335,43.92
507,7,276.56,622,10,2023-07-13,4175,32.66
508,4,45.42,813,16,2024-11-05,1391,19.91
509,2,50.03,654,17,2023-04-16,4022,44.55
510,7,134.82,370,19,2023-05-16,2593,21.62
511,1,5.19,177,19,2023-03-16,3859,4.31
512,9,232.55,41,10,2024-02-12,496,31.8
513,7,147.48,426,23,2024-04-20,3967,20.71
514,2,13.88,551,10,2023-10-12,1251,4.87
515,6,212.03,998,13,2024-07-03,1273,29.74
516,7,159.28,666,24,2023-11-14,542,47.72
517,2,15.12,251,14,2023-11-01,3327,6.68
518,3,2.54,57,4,2024-11-13,2534,1.62
519,3,137.29,12,16,2024-10-31,2143,47.7
520,6,301.93,802,5,2023-06-20,2124,37.74
521,6,115.46,751,26,2023-01-31,968,22.04
522,2,41.57,270,16,2024-03-14,4789,23.3
523,6,25.82,512,6,2023-06-20,4644,13.5
524,9,37.29,588,1,2023-08-22,945,3.16
525,1,27.64,251,16,2023-11-01,3327,18.83
526,7,84.06,184,8,2024-07-20,290,16.77
527,6,232.86,738,9,2023-10-30,3421,41.47
528,1,15.6,123,6,2024-11-20,4113,11.94
529,7,406.31,48,3,2024-05-01,2006,43.97
530,2,42.11,793,18,2023-12-02,2546,23.38
531,4,111.67,299,15,2023-11-08,4619,19.05
532,4,4.07,792,5,2024-07-13,1601,1.31
533,1,1.46,239,11,2023-12-21,4437,1.07
534,5,81.68,870,4,2023-06-20,1937,11.05
535,8,117.09,430,2,2024-04-04,1806,48.66
536,4,116.57,287,17,2023-02-14,763,21.24
537,2,20.04,470,17,2024-08-17,696,7.54
538,1,38.56,77,14,2024-08-04,4849,33.46
539,5,167.66,299,11,2023-11-08,4619,46.38
